gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.70000000003694,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.80000000003696,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,463.900000000037,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.000000000037,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.100000000037,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.20000000003705,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.3000000000371,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.4000000000371,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.5000000000371,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.60000000003714,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.70000000003716,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.8000000000372,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,464.9000000000372,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.00000000003723,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.10000000003726,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.2000000000373,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.3000000000373,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.4000000000373,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.50000000003735,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.60000000003737,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.7000000000374,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.8000000000374,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,465.90000000003744,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.00000000003746,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.1000000000375,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.2000000000375,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.3000000000375,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.40000000003755,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.5000000000376,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.6000000000376,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.7000000000376,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.80000000003764,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,466.90000000003766,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.0000000000377,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.1000000000377,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.20000000003773,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.30000000003776,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.4000000000378,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.5000000000378,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.6000000000378,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,467.70000000003785,,,,,,
